Jabatan 1,Jabatan 2
SEKRETARIS KPU KABUPATEN SERAM BAGIAN TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SERAM BAGIAN TIMUR
SEKRETARIS KPU KABUPATEN SERANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SERANG
SEKRETARIS KPU KABUPATEN SERDANG BEDAGAI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SERDANG BEDAGAI
SEKRETARIS KPU KABUPATEN SERUYAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SERUYAN
SEKRETARIS KPU KABUPATEN SIAK,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SIAK
SEKRETARIS KPU KABUPATEN SIDENRENG RAPPANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SIDENRENG RAPPANG
SEKRETARIS KPU KABUPATEN SIDOARJO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SIDOARJO
SEKRETARIS KPU KABUPATEN SIGI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SIGI
SEKRETARIS KPU KABUPATEN SIJUNJUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SIJUNJUNG
SEKRETARIS KPU KABUPATEN SIMALUNGUN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SIMALUNGUN
SEKRETARIS KPU KABUPATEN SINJAI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SINJAI
SEKRETARIS KPU KABUPATEN SITUBONDO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SITUBONDO
SEKRETARIS KPU KABUPATEN SLEMAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SLEMAN
SEKRETARIS KPU KABUPATEN SOLOK,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SOLOK
SEKRETARIS KPU KABUPATEN SOLOK SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SOLOK SELATAN
SEKRETARIS KPU KABUPATEN SOPPENG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SOPPENG
SEKRETARIS KPU KABUPATEN SORONG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SORONG
SEKRETARIS KPU KABUPATEN SORONG SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SORONG SELATAN
SEKRETARIS KPU KABUPATEN SRAGEN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SRAGEN
SEKRETARIS KPU KABUPATEN SUKABUMI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUKABUMI
SEKRETARIS KPU KABUPATEN SUKAMARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUKAMARA
SEKRETARIS KPU KABUPATEN SUKOHARJO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUKOHARJO
SEKRETARIS KPU KABUPATEN SUMBA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMBA BARAT
SEKRETARIS KPU KABUPATEN SUMBA BARAT DAYA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMBA BARAT DAYA
SEKRETARIS KPU KABUPATEN SUMBA TENGAH,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMBA TENGAH
SEKRETARIS KPU KABUPATEN SUMBA TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMBA TIMUR
SEKRETARIS KPU KABUPATEN SUMBAWA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMBAWA
SEKRETARIS KPU KABUPATEN SUMBAWA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMBAWA BARAT
SEKRETARIS KPU KABUPATEN SUMEDANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMEDANG
SEKRETARIS KPU KABUPATEN SUMENEP,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUMENEP
SEKRETARIS KPU KABUPATEN SUPIORI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN SUPIORI
SEKRETARIS KPU KABUPATEN TABALONG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TABALONG
SEKRETARIS KPU KABUPATEN TAKALAR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TAKALAR
SEKRETARIS KPU KABUPATEN TANAH BUMBU,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TANAH BUMBU
SEKRETARIS KPU KABUPATEN TANAH DATAR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TANAH DATAR
SEKRETARIS KPU KABUPATEN TANAH LAUT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TANAH LAUT
SEKRETARIS KPU KABUPATEN TANGERANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TANGERANG
SEKRETARIS KPU KABUPATEN TANGGAMUS,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TANGGAMUS
SEKRETARIS KPU KABUPATEN TANJUNG JABUNG BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TANJUNG JABUNG BARAT
SEKRETARIS KPU KABUPATEN TANJUNG JABUNG TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TANJUNG JABUNG TIMUR
SEKRETARIS KPU KABUPATEN TAPANULI SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TAPANULI SELATAN
SEKRETARIS KPU KABUPATEN TAPANULI TENGAH,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TAPANULI TENGAH
SEKRETARIS KPU KABUPATEN TAPANULI UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TAPANULI UTARA
SEKRETARIS KPU KABUPATEN TAPIN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TAPIN
SEKRETARIS KPU KABUPATEN TEBO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TEBO
SEKRETARIS KPU KABUPATEN TEGAL,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TEGAL
SEKRETARIS KPU KABUPATEN TELUK BINTUNI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TELUK BINTUNI
SEKRETARIS KPU KABUPATEN TELUK WONDAMA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TELUK WONDAMA
SEKRETARIS KPU KABUPATEN TIMOR TENGAH SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TIMOR TENGAH SELATAN
SEKRETARIS KPU KABUPATEN TIMOR TENGAH UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TIMOR TENGAH UTARA
SEKRETARIS KPU KABUPATEN TOBA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TOBA
SEKRETARIS KPU KABUPATEN TOJO UNA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TOJO UNA
SEKRETARIS KPU KABUPATEN TOLIKARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TOLIKARA
SEKRETARIS KPU KABUPATEN TORAJA UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TORAJA UTARA
SEKRETARIS KPU KABUPATEN TRENGGALEK,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TRENGGALEK
SEKRETARIS KPU KABUPATEN TUBAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TUBAN
SEKRETARIS KPU KABUPATEN TULANG BAWANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TULANG BAWANG
SEKRETARIS KPU KABUPATEN TULUNGAGUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN TULUNGAGUNG
SEKRETARIS KPU KABUPATEN WAJO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN WAJO
SEKRETARIS KPU KABUPATEN WAKATOBI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN WAKATOBI
SEKRETARIS KPU KABUPATEN WAROPEN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN WAROPEN
SEKRETARIS KPU KABUPATEN WAY KANAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN WAY KANAN
SEKRETARIS KPU KABUPATEN WONOGIRI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN WONOGIRI
SEKRETARIS KPU KABUPATEN WONOSOBO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN WONOSOBO
SEKRETARIS KPU KABUPATEN YAHUKIMO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN YAHUKIMO
SEKRETARIS KPU KABUPATEN YALIMO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN YALIMO
SEKRETARIS KPU KOTA AMBON,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA AMBON
SEKRETARIS KPU KOTA BALIKPAPAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BALIKPAPAN
SEKRETARIS KPU KOTA BANDAR LAMPUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BANDAR LAMPUNG
SEKRETARIS KPU KOTA BANDUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BANDUNG
SEKRETARIS KPU KOTA BANJAR,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BANJAR
SEKRETARIS KPU KOTA BANJARBARU,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BANJARBARU
SEKRETARIS KPU KOTA BANJARMASIN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BANJARMASIN
SEKRETARIS KPU KOTA BATAM,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BATAM
SEKRETARIS KPU KOTA BATU,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BATU
SEKRETARIS KPU KOTA BAU BAU,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BAU BAU
SEKRETARIS KPU KOTA BEKASI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BEKASI
SEKRETARIS KPU KOTA BENGKULU,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BENGKULU
SEKRETARIS KPU KOTA BIMA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BIMA
SEKRETARIS KPU KOTA BINJAI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BINJAI
SEKRETARIS KPU KOTA BITUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BITUNG
SEKRETARIS KPU KOTA BLITAR,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BLITAR
SEKRETARIS KPU KOTA BOGOR,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BOGOR
SEKRETARIS KPU KOTA BONTANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BONTANG
SEKRETARIS KPU KOTA BUKITTINGGI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BUKITTINGGI
SEKRETARIS KPU KOTA CILEGON,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA CILEGON
SEKRETARIS KPU KOTA CIMAHI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA CIMAHI
SEKRETARIS KPU KOTA DENPASAR,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA DENPASAR
SEKRETARIS KPU KOTA DUMAI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA DUMAI
SEKRETARIS KPU KOTA GORONTALO,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA GORONTALO
SEKRETARIS KPU KOTA GUNUNGSITOLI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA GUNUNGSITOLI
SEKRETARIS KPU KOTA JAKARTA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA BARAT
SEKRETARIS KPU KOTA JAKARTA PUSAT,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA PUSAT
SEKRETARIS KPU KOTA JAKARTA SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA SELATAN
SEKRETARIS KPU KOTA JAKARTA TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA TIMUR
SEKRETARIS KPU KOTA JAKARTA UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA UTARA
SEKRETARIS KPU KOTA JAMBI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAMBI
SEKRETARIS KPU KOTA JAYAPURA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAYAPURA
SEKRETARIS KPU KOTA KEDIRI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KEDIRI
SEKRETARIS KPU KOTA KENDARI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KENDARI
SEKRETARIS KPU KOTA KOTAMOBAGU,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KOTAMOBAGU
SEKRETARIS KPU KOTA KUPANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KUPANG
SEKRETARIS KPU KOTA LUBUKLINGGAU,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA LUBUKLINGGAU
SEKRETARIS KPU KOTA MADIUN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MADIUN
SEKRETARIS KPU KOTA MAGELANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MAGELANG
SEKRETARIS KPU KOTA MAKASSAR,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MAKASSAR
SEKRETARIS KPU KOTA MALANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MALANG
SEKRETARIS KPU KOTA MANADO,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MANADO
SEKRETARIS KPU KOTA MATARAM,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MATARAM
SEKRETARIS KPU KOTA METRO,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA METRO
SEKRETARIS KPU KOTA MOJOKERTO,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MOJOKERTO
SEKRETARIS KPU KOTA PADANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PADANG
SEKRETARIS KPU KOTA PADANG PANJANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PADANG PANJANG
SEKRETARIS KPU KOTA PADANG SIDEMPUAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PADANG SIDEMPUAN
SEKRETARIS KPU KOTA PAGAR ALAM,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PAGAR ALAM
SEKRETARIS KPU KOTA PALANGKARAYA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PALANGKARAYA
SEKRETARIS KPU KOTA PALOPO,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PALOPO
SEKRETARIS KPU KOTA PALU,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PALU
SEKRETARIS KPU KOTA PANGKALPINANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PANGKALPINANG
SEKRETARIS KPU KOTA PARIAMAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PARIAMAN
SEKRETARIS KPU KOTA PASURUAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PASURUAN
SEKRETARIS KPU KOTA PAYAKUMBUH,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PAYAKUMBUH
SEKRETARIS KPU KOTA PONTIANAK,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PONTIANAK
SEKRETARIS KPU KOTA PRABUMULIH,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PRABUMULIH
SEKRETARIS KPU KOTA PROBOLINGGO,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PROBOLINGGO
SEKRETARIS KPU KOTA SALATIGA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SALATIGA
SEKRETARIS KPU KOTA SAMARINDA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SAMARINDA
SEKRETARIS KPU KOTA SAWAHLUNTO,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SAWAHLUNTO
SEKRETARIS KPU KOTA SEMARANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SEMARANG
SEKRETARIS KPU KOTA SERANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SERANG
SEKRETARIS KPU KOTA SIBOLGA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SIBOLGA
SEKRETARIS KPU KOTA SINGKAWANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SINGKAWANG
SEKRETARIS KPU KOTA SORONG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SORONG
SEKRETARIS KPU KOTA SUNGAI PENUH,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SUNGAI PENUH
SEKRETARIS KPU KOTA SURABAYA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SURABAYA
SEKRETARIS KPU KOTA TANGERANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANGERANG
SEKRETARIS KPU KOTA TANGERANG SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANGERANG SELATAN
SEKRETARIS KPU KOTA TANJUNG BALAI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANJUNG BALAI
SEKRETARIS KPU KOTA TANJUNGPINANG,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANJUNGPINANG
SEKRETARIS KPU KOTA TARAKAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TARAKAN
SEKRETARIS KPU KOTA TASIKMALAYA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TASIKMALAYA
SEKRETARIS KPU KOTA TEBING TINGGI,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TEBING TINGGI
SEKRETARIS KPU KOTA TEGAL,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TEGAL
SEKRETARIS KPU KOTA TERNATE,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TERNATE
SEKRETARIS KPU KOTA TIDORE KEPULAUAN,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TIDORE KEPULAUAN
SEKRETARIS KPU KOTA TOMOHON,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TOMOHON
SEKRETARIS KPU KOTA TUAL,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TUAL
SEKRETARIS KPU KOTA YOGYAKARTA,SEKRETARIS KOMISI PEMILIHAN UMUM KOTA YOGYAKARTA
SEKRETARIS KPU PROVINSI BALI,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI BALI
SEKRETARIS KPU PROVINSI BANTEN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI BANTEN
SEKRETARIS KPU PROVINSI BENGKULU,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI BENGKULU
SEKRETARIS KPU PROVINSI DAERAH ISTIMEWA YOGYAKARTA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI DAERAH ISTIMEWA YOGYAKARTA
SEKRETARIS KPU PROVINSI DKI JAKARTA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI DKI JAKARTA
SEKRETARIS KPU PROVINSI GORONTALO,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI GORONTALO
SEKRETARIS KPU PROVINSI JAMBI,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAMBI
SEKRETARIS KPU PROVINSI JAWA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAWA BARAT
SEKRETARIS KPU PROVINSI JAWA TENGAH,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAWA TENGAH
SEKRETARIS KPU PROVINSI JAWA TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAWA TIMUR
SEKRETARIS KPU PROVINSI KALIMANTAN BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN BARAT
SEKRETARIS KPU PROVINSI KALIMANTAN SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN SELATAN
SEKRETARIS KPU PROVINSI KALIMANTAN TENGAH,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN TENGAH
SEKRETARIS KPU PROVINSI KALIMANTAN TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN TIMUR
SEKRETARIS KPU PROVINSI KALIMANTAN UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN UTARA
SEKRETARIS KPU PROVINSI KEPULAUAN BANGKA BELITUNG,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KEPULAUAN BANGKA BELITUNG
SEKRETARIS KPU PROVINSI LAMPUNG,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI LAMPUNG
SEKRETARIS KPU PROVINSI MALUKU,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI MALUKU
SEKRETARIS KPU PROVINSI MALUKU UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI MALUKU UTARA
SEKRETARIS KPU PROVINSI NUSA TENGGARA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI NUSA TENGGARA BARAT
SEKRETARIS KPU PROVINSI PAPUA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA
SEKRETARIS KPU PROVINSI PAPUA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA BARAT
SEKRETARIS KPU PROVINSI PAPUA BARAT DAYA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA BARAT DAYA
SEKRETARIS KPU PROVINSI PAPUA PEGUNUNGAN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA PEGUNUNGAN
SEKRETARIS KPU PROVINSI PAPUA SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA SELATAN
SEKRETARIS KPU PROVINSI RIAU,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI RIAU
SEKRETARIS KPU PROVINSI SULAWESI BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI BARAT
SEKRETARIS KPU PROVINSI SULAWESI SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI SELATAN
SEKRETARIS KPU PROVINSI SULAWESI TENGAH,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI TENGAH
SEKRETARIS KPU PROVINSI SULAWESI TENGGARA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI TENGGARA
SEKRETARIS KPU PROVINSI SULAWESI UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI UTARA
SEKRETARIS KPU PROVINSI SUMATERA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SUMATERA BARAT
SEKRETARIS KPU PROVINSI SUMATERA SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SUMATERA SELATAN
SEKRETARIS KPU PROVINSI SUMATERA UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SUMATERA UTARA
SEKRETARIS PIMPINAN,SEKRETARIS PIMPINAN
"KEPALA SUBBAGIAN PARTSIPASI, HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA","Kepala SUBBAGIAN PARTISIPASI, HUBUNGAN MASYARAKAT, DAN SUMBER DAYA MANUSIA "
AHLI PERTAMA - PENATA KELOLA PEMILU,Penata Kelola Pemilihan Umum Ahli Pertama
AHLI PERTAMA - PRANATA KOMPUTER,Pranata Komputer Ahli Pertama
Arsiparis Terampil,TERAMPIL - ARSIPARIS 
Assessor Sumber Daya Manusia Aparatur Ahli Pertama,Asessor Sumber Daya Manusia Aparatur Ahli Pertama
Assessor Sumber Daya Manusia Aparatur Ahli Muda,Asessor Sumber Daya Manusia Aparatur Ahli Muda
Assessor Sumber Daya Manusia Aparatur Ahli Madya,Asessor Sumber Daya Manusia Aparatur Madya
